"","Model","Price","Manufacturer","Year","Count"
"1","- G37x",9000,"Infiniti",2013,1
"2","- Mazda6",7000,"Mazda",2010,1
"3","-5",8995,"Mazda",2014,2
"4","-5 Miata",7500,"Mazda",1994,1
"5","1 Ton",1500,"Toyota",1989,1
"6","130t",2550,"Infiniti",1997,2
"7","135",1850,"Infiniti",2003,1
"8","1500 Nv Cargo Van",14999,"Nissan",2013,1
"9","2",5546.64285714286,"Mazda",2011,14
"10","2 Door Echo",2000,"Toyota",2002,2
"11","2 Sport",4500,"Mazda",2014,1
"12","2 Sports Hatchback",5900,"Mazda",2014,1
"13","2006",4199,"Lexus",2006,1
"14","200nv Sv Cargo Van",10999,"Nissan",2014,1
"15","2010 Ridgeline",10975,"Honda",2010,2
"16","240sx",6833.33333333333,"Nissan",1989,3
"17","240sx S13",5999,"Nissan",1990,1
"18","240sx Se",15000,"Nissan",1997,1
"19","2500 Nv Sv Cargo Van",14999,"Nissan",2012,1
"20","250r",8995,"Honda",1988,1
"21","3",6279.58766233766,"Mazda",2007,308
"22","3 - I Touring",4700,"Mazda",2011,1
"23","3 2.3",2495,"Mazda",2006,1
"24","3 2012",6000,"Mazda",2012,1
"25","3 Grand Touring",10825,"Mazda",2017,2
"26","3 Grand Touring Fwd Gas",19321,"Mazda",2018,2
"27","3 Hatchback",8869.25,"Mazda",2007,4
"28","3 Hatchback 2.5l Sport",5250,"Mazda",2010,1
"29","3 I",5044,"Mazda",2007,2
"30","3 I-Touring",7995,"Mazda",2012,1
"31","3 I 4-Door Sport",9795,"Mazda",2013,1
"32","3 I Grand Touring",10082.5,"Mazda",2015,6
"33","3 I Grand Touring 6m",9900,"Mazda",2015,1
"34","3 I Sport",7500,"Mazda",2012,1
"35","3 I Sport 4",7950,"Mazda",2013,1
"36","3 I Sport 4dr Sedan",5995,"Mazda",2009,1
"37","3 I Sport Sedan",4000,"Mazda",2012,1
"38","3 I Sv Sedan 4d",6975,"Mazda",2013,1
"39","3 I Touring",6598,"Mazda",2011,6
"40","3 Isport",7500,"Mazda",2013,1
"41","3 Itouring",7650,"Mazda",2014,2
"42","3 S",4165.71428571429,"Mazda",2007,7
"43","3 S Grand Tou",9995,"Mazda",2010,1
"44","3 S Grand Touring",9555.5,"Mazda",2014,6
"45","3 S Sport",4700,"Mazda",2010,1
"46","3 S Touring",12950,"Mazda",2014,2
"47","3 S Touring Hatchback",4661.66666666667,"Mazda",2006,9
"48","3 Sedan",25867,"Mazda",2020,1
"49","3 Sedan Touring",14700,"Mazda",2018,2
"50","3 Select Fwd Gas Sedan",21499,"Mazda",2020,1
"51","3 Sp23",3500,"Mazda",2005,1
"52","3 Speed Turbo",10999,"Mazda",2011,1
"53","3 Sport",8677.71428571429,"Mazda",2014,7
"54","3 Sport 6 Speed",8500,"Mazda",2011,1
"55","3 Sport Fwd Gas Sedan Auto",16999,"Mazda",2018,1
"56","3 Sport Hatchback",4995,"Mazda",2006,1
"57","3 Touring",9554.44444444445,"Mazda",2018,9
"58","3 Touring Fwd Gas Auto",19124,"Mazda",2018,4
"59","3 Touring Fwd Gas Sedan",14999,"Mazda",2017,2
"60","3.0 Cl",3500,"Acura",1997,1
"61","3.0cl",2150,"Acura",1997,2
"62","3.2 Cl",3850,"Acura",2001,2
"63","3.2 Cl Type S",4000,"Acura",2001,1
"64","3.2 Tl",4088.17647058824,"Acura",1999,17
"65","3.2 Tl-Type S",5000,"Acura",2003,1
"66","3.2 Tl 6speed Manual",8499,"Acura",2006,1
"67","3.2cl Type S",2500,"Acura",2001,1
"68","3.2tl",2909.33333333333,"Acura",2000,6
"69","3.2tl Type S",3350,"Acura",2002,1
"70","3.5 Rl",3200,"Acura",1999,4
"71","300",1995,"Chrysler",2012,1
"72","300 Turbo",7999,"Nissan",1984,2
"73","300 Zx",6425,"Nissan",1988,4
"74","3000 Gt",5997.5,"Mitsubishi",1991,2
"75","3000gt",9411,"Mitsubishi",1998,9
"76","3000gt Sl",2898.33333333333,"Mitsubishi",1992,3
"77","3000gt Spyder Vr-4",28000,"Mitsubishi",1995,1
"78","3000gt Vr-4",17425,"Mitsubishi",1995,1
"79","3000gt Vr4",15975,"Mitsubishi",1997,1
"80","300zx",9072.28571428571,"Nissan",1990,14
"81","300zx 2+2",4400,"Nissan",1990,1
"82","300zx Convertible",14245,"Nissan",1993,2
"83","300zx Coupe With T-Tops",3948.75,"Nissan",1985,4
"84","300zx Turbo",24000,"Nissan",1991,1
"85","300zx Twin Turbo",12000,"Nissan",1991,2
"86","300zx Twin Turbo Z32",7750,"Nissan",1990,2
"87","300zx Z32 Fairlady Z",18000,"Nissan",1993,1
"88","350 Z",12450,"Nissan",2005,2
"89","350z",9411.52830188679,"Nissan",2009,53
"90","350z 2dr Touring Roadster",8995,"Nissan",2005,1
"91","350z Convertible",9219.90909090909,"Nissan",2004,11
"92","350z Coupe",5500,"Nissan",2003,1
"93","350z Enthusiast",7798,"Nissan",2007,5
"94","350z Grand Touring",9512.5,"Nissan",2008,8
"95","350z Nismo",26000,"Nissan",2007,1
"96","350z Roadster",7486.25,"Nissan",2007,4
"97","350z Touring",10718.75,"Nissan",2004,8
"98","350z Touring Edition",6986,"Nissan",2003,1
"99","350z Track",8450,"Nissan",2005,2
"100","370 Z",19870,"Nissan",2010,2
"101","370z",21501.7446808511,"Nissan",2020,47
"102","370z 2dr Roadster Auto",14994,"Nissan",2010,1
"103","370z Coupe",23655.1666666667,"Nissan",2020,6
"104","370z Coupe 2d",24262.1428571429,"Nissan",2014,14
"105","370z Coupe 2dr",19900,"Nissan",2015,2
"106","370z Nismo",27914.2857142857,"Nissan",2020,7
"107","370z Roadster",15311.25,"Nissan",2010,4
"108","370z Roadster Touring Sp",29999,"Nissan",2015,1
"109","370z Sport Touring",15000,"Nissan",2010,1
"110","370z Touring",14473.75,"Nissan",2009,4
"111","370z Touring 2dr Coup",19500,"Nissan",2010,1
"112","370z Touring Coupe 2d",22993.5,"Nissan",2016,2
"113","370z Tuned, 500+ Hp, Sti",20995,"Nissan",2011,12
"114","370z W/ Sport Package",15000,"Nissan",2010,2
"115","3i",6659,"Mazda",2007,5
"116","3i Sport",500,"Mazda",2007,1
"117","3i Sport Hatchback",11997,"Mazda",2017,1
"118","3i Touring",6349.625,"Mazda",2010,8
"119","3s",5600,"Mazda",2010,2
"120","3s Hatchback",5500,"Mazda",2005,1
"121","4",800,"Nissan",2001,1
"122","4-Runner",25781.4747474747,"Toyota",2016,99
"123","4-Runner 4x4 V6",8997,"Toyota",2005,6
"124","4 Runner",14375.4444444444,"Toyota",1997,9
"125","4 Runner 2006",9999,"Toyota",2006,1
"126","4 Runner Sr-5 Sport",7990,"Toyota",2004,1
"127","4 Runner Sr5",8500,"Toyota",2007,1
"128","4 Runner Sr5 4wd",23995,"Toyota",2013,1
"129","4 Runner Sr5 4x4",6850,"Toyota",2003,1
"130","4.0 & 6.0",3375,"Nissan",2012,8
"131","430 Ls",8400,"Lexus",2005,1
"132","4runner",18515.305,"Toyota",2019,600
"133","4runner 4 Runner",15995,"Toyota",2000,2
"134","4runner 4 Runner Sr5",17991,"Toyota",2011,1
"135","4runner 4 Runner Trail",23991,"Toyota",2010,1
