"","StateFull","State","num_JDM","num_nJDM"
"1","Alabama","AL",1122,2226
"2","Alaska","AK",15,63
"3","Arizona","AZ",876,2454
"4","Arkansas","AR",499,1780
"5","California","CA",6892,13926
"6","Colorado","CO",2113,4439
"7","Connecticut","CT",1153,2105
"8","Delaware","DE",123,361
"9","District of Columbia","DC",612,877
"10","Florida","FL",4183,10765
"11","Georgia","GA",781,1742
"12","Idaho","ID",1603,4486
"13","Illinois","IL",1152,3550
"14","Indiana","IN",831,2969
"15","Iowa","IA",1269,4604
"16","Kansas","KS",783,2451
"17","Kentucky","KY",822,2215
"18","Louisiana","LA",441,1063
"19","Maine","ME",440,1144
"20","Maryland","MD",915,1970
"21","Massachusetts","MA",1500,3008
"22","Michigan","MI",1385,9246
"23","Minnesota","MN",824,3564
"24","Mississippi","MS",210,624
"25","Missouri","MO",577,2300
"26","Montana","MT",1020,4535
"27","Nebraska","NE",152,653
"28","Nevada","NV",513,1233
"29","New Hampshire","NH",534,1248
"30","New Jersey","NJ",2562,4291
"31","New Mexico","NM",682,1443
"32","New York","NY",2997,6970
"33","North Carolina","NC",2558,5368
"34","North Dakota","ND",27,282
"35","Ohio","OH",2754,8053
"36","Oklahoma","OK",797,2511
"37","Oregon","OR",2676,5880
"38","Pennsylvania","PA",2211,5360
"39","Rhode Island","RI",527,1070
"40","South Carolina","SC",1099,2399
"41","South Dakota","SD",155,884
"42","Tennessee","TN",2067,4542
"43","Texas","TX",2766,7958
"44","Utah","UT",178,458
"45","Vermont","VT",626,929
"46","Virginia","VA",2346,4112
"47","Washington","WA",2245,5881
"48","West Virginia","WV",40,314
"49","Wisconsin","WI",1876,6643
"50","Wyoming","WY",88,367
