"","Price","JDM","State","StateFull","Manufacturer","Model","Year"
"1",24900,"JDM","AK","Alaska","Toyota","Tacoma",2018
"2",42888,"JDM","AL","Alabama","Nissan","Armada",2019
"3",55702,"JDM","AR","Arkansas","Toyota","Gr Supra",2020
"4",56995,"JDM","AZ","Arizona","Toyota","Tundra Lifted Limited Crew Max 4x4 Iforce V8",2019
"5",92021,"JDM","CA","California","Lexus","Es350",2007
"6",63979,"JDM","CO","Colorado","Toyota","Sienna Se",2017
"7",47590,"JDM","CT","Connecticut","Toyota","Tacoma Double Cab Trd Pro",2019
"8",50000,"JDM","DC","District of Columbia","Lexus","Rx450h",2020
"9",43995,"JDM","DE","Delaware","Acura","Mdx",2020
"10",69900,"JDM","FL","Florida","Lexus","Lc500 Coupe",2018
"11",45998,"JDM","GA","Georgia","Toyota","Tundra",2018
"12",31000,"JDM","HI","Hawaii","Toyota","Tacoma Double Cab V6 4 X",2015
"13",99000,"JDM","IA","Iowa","Toyota","Tundra",2017
"14",52999,"JDM","ID","Idaho","Toyota","Lifted Tundra Platinum",2017
"15",54785,"JDM","IL","Illinois","Toyota","Gr Supra",2020
"16",90300,"JDM","IN","Indiana","Nissan","Gtr",2018
"17",54861,"JDM","KS","Kansas","Toyota","Gr Supra",2020
"18",53980,"JDM","KY","Kentucky","Toyota","Supra Turbo",2020
"19",68991,"JDM","LA","Louisiana","Nissan","Gt-R",2016
"20",43590,"JDM","MA","Massachusetts","Lexus","Rc 300 Coupe 2d",2019
"21",47590,"JDM","MD","Maryland","Toyota","Tacoma Double Cab Trd Pro",2019
"22",55000,"JDM","ME","Maine","Toyota",NA,2019
"23",50995,"JDM","MI","Michigan","Toyota","Tundra",2016
"24",82988,"JDM","MN","Minnesota","Lexus","Lc 500",2018
"25",55702,"JDM","MO","Missouri","Toyota","Gr Supra",2020
"26",41500,"JDM","MS","Mississippi","Toyota","Tundra",2017
"27",75000,"JDM","MT","Montana","Toyota","Tundra",2015
"28",85988,"JDM","NC","North Carolina","Nissan","Gt-R",2017
"29",38000,"JDM","ND","North Dakota","Honda","Civic",2019
"30",40900,"JDM","NE","Nebraska","Toyota","Sienna",2014
"31",105000,"JDM","NH","New Hampshire","Nissan","Frontier",2008
"32",71495,"JDM","NJ","New Jersey","Lexus","Lc",2019
"33",65500,"JDM","NM","New Mexico","Toyota","Tacoma Trd Pro",2020
"34",65000,"JDM","NV","Nevada","Toyota","Tundra",2019
"35",250000,"JDM","NY","New York","Nissan","Xterra Se",2001
"36",79977,"JDM","OH","Ohio","Nissan","Gt-R",2009
"37",68991,"JDM","OK","Oklahoma","Nissan","Gt-R",2016
"38",69155,"JDM","OR","Oregon","Lexus","Gx570",2018
"39",79977,"JDM","PA","Pennsylvania","Nissan","Gt-R",2009
"40",46590,"JDM","RI","Rhode Island","Toyota","Tundra Crewmax 1794",2018
"41",73250,"JDM","SC","South Carolina","Nissan","Gt-R",2017
"42",40990,"JDM","SD","South Dakota","Subaru","Ascent",2020
"43",58999,"JDM","TN","Tennessee","Lexus","Lx",2017
"44",1495000,"JDM","TX","Texas","Lexus","Is 250",2014
"45",79900,"JDM","UT","Utah","Lexus","Lc 500",2018
"46",52000,"JDM","VA","Virginia","Toyota","Sequoia Platinum",2019
"47",73250,"JDM","VT","Vermont","Nissan","Gt-R",2017
"48",62999,"JDM","WA","Washington","Toyota","4runner Trd Pro 4x4 Gas",2020
"49",47750,"JDM","WI","Wisconsin","Toyota","Tundra",2016
"50",35000,"JDM","WV","West Virginia","Subaru","Wrx Sti",2019
"51",43999,"JDM","WY","Wyoming","Toyota","Tundra",2018
