"","Price","JDM","State","StateFull","Manufacturer","Model","Year"
"1",79990,"Non-JDM","AK","Alaska","Ford","E-150",2014
"2",79989,"Non-JDM","AL","Alabama","Cadillac","Escalade Esv Platinum",2020
"3",124975,"Non-JDM","AR","Arkansas","Audi","R8 V10",2017
"4",239500,"Non-JDM","AZ","Arizona","Ferrari","488 Spider",2018
"5",479500,"Non-JDM","CA","California","Chrysler","Pt Cruiser",2009
"6",150000,"Non-JDM","CO","Colorado","Ram","3500",2020
"7",89950,"Non-JDM","CT","Connecticut","Cadillac","Cts",2019
"8",115000,"Non-JDM","DC","District of Columbia","Chevrolet","Corvette",2020
"9",58750,"Non-JDM","DE","Delaware","Chevrolet","Corvette",1962
"10",999000,"Non-JDM","FL","Florida","Mercedes-benz","Amg G 63",2017
"11",72500,"Non-JDM","GA","Georgia","GMC","Savana G2500",2017
"12",8675309,"Non-JDM","IA","Iowa","Chevrolet","Monte Carlo Ls",2002
"13",198900,"Non-JDM","ID","Idaho","Audi","R8 Quattro 5.2l V10 Awd Per",2020
"14",189500,"Non-JDM","IL","Illinois","Mercedes-benz","G-Class",2017
"15",1299700,"Non-JDM","IN","Indiana","Chevrolet","Equinox",2017
"16",99999,"Non-JDM","KS","Kansas","Dodge","Charger Police",2016
"17",123946,"Non-JDM","KY","Kentucky","Ford","F350",2003
"18",184000,"Non-JDM","LA","Louisiana","Volvo","Vnl64t740",2019
"19",150000,"Non-JDM","MA","Massachusetts","Ram","Sport 1500 4x4",2016
"20",125000,"Non-JDM","MD","Maryland","Chevrolet","Corvette",1955
"21",145000,"Non-JDM","ME","Maine","BMW","2002tii",1972
"22",1299700,"Non-JDM","MI","Michigan","Chevrolet","Equinox",2017
"23",130000,"Non-JDM","MN","Minnesota","Chrysler","300 G",1961
"24",125000,"Non-JDM","MO","Missouri","Ford","Mustang Shelby Gt500",2020
"25",64500,"Non-JDM","MS","Mississippi","Chevrolet","Suburban Premier",2020
"26",99000,"Non-JDM","MT","Montana","Pontiac","Gto",1970
"27",124975,"Non-JDM","NC","North Carolina","Audi","R8 V10",2017
"28",60000,"Non-JDM","ND","North Dakota","Chevrolet","Camaro",2013
"29",67091,"Non-JDM","NE","Nebraska","Ford","Expedition Limited 4x4",2020
"30",129995,"Non-JDM","NH","New Hampshire","Ferrari","F430 Spider",2007
"31",117750,"Non-JDM","NJ","New Jersey","Ferrari","550 Maranello",1999
"32",124975,"Non-JDM","NM","New Mexico","Audi","R8 V10",2015
"33",119980,"Non-JDM","NV","Nevada","Chevrolet","Camaro Restomod",1969
"34",189500,"Non-JDM","NY","New York","Mercedes-benz","G-Class",2017
"35",129991,"Non-JDM","OH","Ohio","Ferrari","599 Gtb Fiorano",2008
"36",124975,"Non-JDM","OK","Oklahoma","Audi","R8 V10",2017
"37",239500,"Non-JDM","OR","Oregon","Ferrari","488 Spider",2018
"38",235000,"Non-JDM","PA","Pennsylvania","Ferrari","F12 Berlinetta",2016
"39",79990,"Non-JDM","RI","Rhode Island","Ford","F-650",2018
"40",119989,"Non-JDM","SC","South Carolina","Chevrolet","Corvette Stingray 3lt",2020
"41",76250,"Non-JDM","SD","South Dakota","Lincoln","Navigator L",2019
"42",239500,"Non-JDM","TN","Tennessee","Ferrari","488 Spider",2018
"43",1111111,"Non-JDM","TX","Texas","Ford","Escape",2007
"44",149500,"Non-JDM","UT","Utah","Mercedes-benz","Sprinter 2500",2019
"45",105000,"Non-JDM","VA","Virginia","Chevrolet","Corvette",2020
"46",89944,"Non-JDM","VT","Vermont","Ford","F-750",2017
"47",2e+05,"Non-JDM","WA","Washington","Mercedes-benz","Amg G 63",2020
"48",219995,"Non-JDM","WI","Wisconsin","Ram","1500 Big Horn 4x4",2011
"49",70000,"Non-JDM","WV","West Virginia","Chevrolet","Silverado 1500",2018
"50",67923,"Non-JDM","WY","Wyoming","Ford","F-350",2019
