"","Region","Price","Year","Manufacturer","Model","Condition","Cylinders","Fuel","Odometer","Transmission","Drive","Size","Type","Paint_color","State","Lat","Long","JDM"
"1","Pittsburgh",6499,2010,"Ford","Transit Connect","Excellent","4 cylinders","Gas",114000,"Automatic","FWD","Mid-Size","Mini-Van","White","PA",40.548,-80.05,"Non-JDM"
"2","Maine",10999,2009,"Acura","Mdx","Good",NA,"Gas",144705,"Automatic","4WD","Full-Size","Suv","White","ME",42.8356,-71.0934,"JDM"
"3","Bellingham",30000,2013,"Chevrolet","Silverado",NA,NA,"Gas",81888,"Automatic","4WD",NA,"Pickup","Red","WA",48.7567,-122.451,"Non-JDM"
"4","Quad Cities, Ia/Il",19950,2015,"Infiniti","Q50 Premium Awd Sport S",NA,NA,"Gas",50799,"Automatic",NA,NA,NA,NA,"IL",44.8346,-91.5159,"JDM"
"5","Space Coast",6900,2007,"Mercedes-benz","Slk-Class Slk 280","Excellent","6 cylinders","Gas",168967,"Automatic","RWD","Compact","Coupe","Silver","FL",28.3888,-80.7301,"Non-JDM"
"6","Redding",25777,2015,"Chevrolet","Suburban",NA,NA,"Gas",127624,"Automatic","RWD",NA,"Suv","White","CA",38.605,-121.402,"Non-JDM"
"7","Yakima",44999,2007,"Ford","Mustang Shelby Gt500 Rwd",NA,NA,"Gas",4001,"Manual","RWD",NA,"Coupe","Black","WA",46.2348,-119.128,"Non-JDM"
"8","Boston",18590,2017,"Chevrolet","Bolt Ev",NA,NA,"Electric",39170,"Automatic","FWD",NA,"Hatchback","Blue","MA",42.1301,-71.5234,"Non-JDM"
"9","Eugene",19999,2015,"GMC","Acadia Denali Awd","Excellent","6 cylinders","Gas",95000,"Automatic","4WD",NA,NA,NA,"OR",44.046,-122.97,"Non-JDM"
"10","Boone",38404,2019,"Chevrolet","Suburban Lt","Good","8 cylinders","Other",53364,"Automatic",NA,NA,"Other","Blue","NC",36.2244,-81.6328,"Non-JDM"
"11","Pittsburgh",6995,2010,"Honda","Crv Lx",NA,"4 cylinders","Gas",155766,"Automatic","4WD",NA,"Suv",NA,"PA",41.0252,-80.6687,"JDM"
"12","Mankato",17300,2017,"Honda","Accord Lt","Excellent","4 cylinders","Gas",41000,"Automatic",NA,NA,NA,NA,"MN",44.1538,-93.996,"JDM"
